,precision,recall,f1-score,support
EMI,1.0,0.9981024667931688,0.9990503323836657,527.0
Education,0.998589562764457,1.0,0.9992942836979535,708.0
Entertainment,0.8972868217054264,0.801038062283737,0.8464351005484461,578.0
Food,0.9990069513406157,1.0,0.9995032290114257,1006.0
Fuel,0.8844765342960289,0.9158878504672897,0.8999081726354453,535.0
Groceries,0.9840116279069767,0.9985250737463127,0.9912152269399708,678.0
Housing,1.0,1.0,1.0,630.0
Income,1.0,0.9980988593155894,0.9990485252140818,526.0
Medical,0.9913419913419913,0.9899135446685879,0.9906272530641672,694.0
Personal,0.9990583804143126,1.0,0.9995289684408856,1061.0
Shopping,1.0,0.987535953978907,0.9937288953207911,1043.0
Subscription,0.8462515883100381,0.9173553719008265,0.8803701255783212,726.0
Transport,0.9520348837209303,0.9969558599695586,0.9739776951672863,657.0
Travel,0.9799382716049383,0.9393491124260355,0.959214501510574,676.0
Utilities,0.9358974358974359,0.9125,0.9240506329113924,720.0
accuracy,0.9675801207617278,0.9675801207617278,0.9675801207617278,0.9675801207617278
macro avg,0.9645262699535435,0.9636841437033342,0.9637301961616271,10765.0
weighted avg,0.9680567855811143,0.9675801207617278,0.9674859486845075,10765.0
