,precision,recall,f1-score,support
1mg,1.0,1.0,1.0,15.0
24 Mantra Organic,1.0,1.0,1.0,14.0
99acres,1.0,1.0,1.0,20.0
AIIMS,1.0,1.0,1.0,20.0
AND,1.0,1.0,1.0,19.0
AU Small Finance,1.0,1.0,1.0,23.0
Aadhya,1.0,1.0,1.0,4.0
Aaradhya,1.0,1.0,1.0,5.0
Aashirvaad,1.0,1.0,1.0,17.0
AbhiBus,1.0,1.0,1.0,13.0
Acadgild,1.0,1.0,1.0,16.0
Account,1.0,1.0,1.0,23.0
AdSense,1.0,1.0,1.0,16.0
Adani Electricity,1.0,1.0,1.0,17.0
Adani Gas,1.0,1.0,1.0,42.0
Adani Power,1.0,1.0,1.0,20.0
Adidas,1.0,1.0,1.0,14.0
Aditya,1.0,1.0,1.0,4.0
Aditya Birla Finance,1.0,1.0,1.0,13.0
Adobe Creative,1.0,1.0,1.0,23.0
Advik,1.0,1.0,1.0,4.0
Affiliate,1.0,1.0,1.0,13.0
Agni,1.0,1.0,1.0,4.0
Aha Taxis,1.0,1.0,1.0,14.0
Airbnb,1.0,1.0,1.0,17.0
Airtel,1.0,1.0,1.0,23.0
Ajio,1.0,1.0,1.0,18.0
Akka,1.0,1.0,1.0,5.0
Aldo,1.0,1.0,1.0,15.0
Allen Solly,1.0,1.0,1.0,18.0
Alok,1.0,1.0,1.0,5.0
Alt Balaji,1.0,1.0,1.0,17.0
AltCampus,1.0,1.0,1.0,18.0
Amazon,1.0,1.0,1.0,20.0
Amazon Fresh,1.0,1.0,1.0,20.0
Amazon MiniTV,1.0,1.0,1.0,14.0
Amazon Prime,1.0,1.0,1.0,18.0
Amit,1.0,1.0,1.0,5.0
Ammamma,1.0,1.0,1.0,6.0
Amul,1.0,1.0,1.0,23.0
Ananya,1.0,1.0,1.0,4.0
Andhra Bhavan,1.0,1.0,1.0,14.0
Anil,1.0,1.0,1.0,6.0
Anita,1.0,1.0,1.0,4.0
Anjali,1.0,1.0,1.0,4.0
Anna,1.0,1.0,1.0,4.0
Anokhi,1.0,1.0,1.0,16.0
Apollo Hospitals,1.0,1.0,1.0,17.0
Apollo Pharmacy,1.0,1.0,1.0,13.0
Apple Music,1.0,1.0,1.0,30.0
Apple TV,1.0,1.0,1.0,17.0
Aptech,1.0,1.0,1.0,18.0
Arena,1.0,1.0,1.0,18.0
Arjun,1.0,1.0,1.0,3.0
Arnav,1.0,1.0,1.0,4.0
Artemis,1.0,1.0,1.0,12.0
Arun,1.0,1.0,1.0,5.0
Aryan,1.0,1.0,1.0,5.0
Ashok,1.0,1.0,1.0,4.0
Aster,1.0,1.0,1.0,16.0
AtHome,1.0,1.0,1.0,14.0
Audible,1.0,1.0,1.0,18.0
Aunt,1.0,1.0,1.0,4.0
AutoWale,1.0,1.0,1.0,16.0
Axis EMI,1.0,1.0,1.0,20.0
Ayaan,1.0,1.0,1.0,5.0
Ayu Health,1.0,1.0,1.0,15.0
BESCOM,1.0,1.0,1.0,22.0
BITS,1.0,1.0,1.0,20.0
BLK Max,1.0,1.0,1.0,20.0
BMC Water,1.0,1.0,1.0,20.0
BSES,1.0,1.0,1.0,16.0
BSNL,1.0,1.0,1.0,24.0
BWSSB,1.0,1.0,1.0,18.0
BYJUs,1.0,1.0,1.0,18.0
Baidyanath,1.0,1.0,1.0,14.0
Bajaj Finance,1.0,1.0,1.0,22.0
Bajaj Finserv,1.0,1.0,1.0,21.0
Barbeque Nation,1.0,1.0,1.0,20.0
Baskin Robbins,1.0,1.0,1.0,16.0
Bata,1.0,1.0,1.0,22.0
Behen,1.0,1.0,1.0,4.0
Behrouz Biryani,1.0,1.0,1.0,16.0
Bestie,1.0,1.0,1.0,1.0
Beta,1.0,1.0,1.0,5.0
Beti,1.0,1.0,1.0,6.0
Bewakoof,1.0,1.0,1.0,17.0
Bhabhi,1.0,1.0,1.0,6.0
Bhai,1.0,1.0,1.0,4.0
Bhaiya,1.0,1.0,1.0,5.0
Bhanja,1.0,1.0,1.0,5.0
Bhanji,1.0,1.0,1.0,5.0
Bharat,1.0,1.0,1.0,4.0
Bharat Gas,1.0,1.0,1.0,37.0
Bharat Petroleum,1.0,1.0,1.0,18.0
Bharti,1.0,1.0,1.0,5.0
Bhau,1.0,1.0,1.0,4.0
Biba,1.0,1.0,1.0,17.0
Big Bazaar,1.0,1.0,1.0,18.0
Big Chill,1.0,1.0,1.0,15.0
Big FM,1.0,1.0,1.0,19.0
BigBasket,1.0,1.0,1.0,14.0
Bikanervala,1.0,1.0,1.0,13.0
Biryani Blues,1.0,1.0,1.0,14.0
Blinkit,1.0,1.0,1.0,22.0
Bloom,1.0,1.0,1.0,20.0
BluSmart,1.0,1.0,1.0,16.0
Bonus,1.0,1.0,1.0,15.0
BookMyShow,1.0,1.0,1.0,17.0
BookMyShow Stream,1.0,1.0,1.0,20.0
Bookingcom,1.0,1.0,1.0,21.0
Bounce,1.0,1.0,1.0,17.0
Box8,1.0,1.0,1.0,14.0
Brahma,1.0,1.0,1.0,4.0
Brand Factory,1.0,1.0,1.0,23.0
Britannia,1.0,1.0,1.0,14.0
Bro,0.0,0.0,0.0,0.0
Brother,1.0,1.0,1.0,5.0
Brother in Law,1.0,1.0,1.0,4.0
Bua,1.0,1.0,1.0,10.0
Buddy,0.0,0.0,0.0,0.0
Burger King,1.0,1.0,1.0,22.0
CESC,1.0,1.0,1.0,23.0
CESCOM,1.0,1.0,1.0,22.0
CMC Vellore,1.0,1.0,1.0,22.0
CPCL,1.0,1.0,1.0,18.0
CTR,1.0,1.0,1.0,14.0
Cairn India,1.0,1.0,1.0,12.0
Calm,1.0,1.0,1.0,15.0
Canva Pro,1.0,1.0,1.0,17.0
Capital First,1.0,1.0,1.0,18.0
Carnival,1.0,1.0,1.0,16.0
Carzonrent,1.0,1.0,1.0,21.0
Cashback,1.0,1.0,1.0,14.0
Central,1.0,1.0,1.0,20.0
Centuary,1.0,1.0,1.0,17.0
Chaayos,1.0,1.0,1.0,18.0
Chacha,1.0,1.0,1.0,10.0
Chachi,1.0,1.0,1.0,4.0
Chai Point,1.0,1.0,1.0,19.0
Chandra,1.0,1.0,1.0,4.0
Chechi,1.0,1.0,1.0,3.0
Chennai Metro Water,1.0,1.0,1.0,18.0
Cheta,1.0,1.0,1.0,5.0
Cholamandalam,1.0,1.0,1.0,14.0
Cinepolis,1.0,1.0,1.0,18.0
CityFurnish,1.0,1.0,1.0,14.0
Cityflo,1.0,1.0,1.0,15.0
Clarks,1.0,1.0,1.0,37.0
Cleartrip,1.0,1.0,1.0,20.0
Cloudnine,1.0,1.0,1.0,15.0
Colive,1.0,1.0,1.0,16.0
Colleague,0.0,0.0,0.0,0.0
Commission,1.0,1.0,1.0,21.0
Consulting,1.0,1.0,1.0,18.0
Contact,1.0,1.0,1.0,51.0
Corner House,1.0,1.0,1.0,15.0
Country Delight,1.0,1.0,1.0,21.0
Coursera,1.0,1.0,1.0,19.0
Coursera Plus,1.0,1.0,1.0,20.0
Courtyard,1.0,1.0,1.0,22.0
Cousin,1.0,1.0,1.0,6.0
Cuemath,1.0,1.0,1.0,23.0
Cult Fit,1.0,1.0,1.0,36.0
CureFit,1.0,1.0,1.0,22.0
DDecor,1.0,1.0,1.0,20.0
DMart,1.0,1.0,1.0,20.0
DU,1.0,1.0,1.0,16.0
Dabur,0.9411764705882353,1.0,0.9696969696969697,16.0
Dad,1.0,1.0,1.0,5.0
Dada,1.0,0.9,0.9473684210526315,10.0
Dadi,1.0,1.0,1.0,6.0
Daily Harvest,1.0,1.0,1.0,22.0
Daughter,1.0,1.0,1.0,6.0
Decathlon,1.0,1.0,1.0,22.0
Deepa,1.0,1.0,1.0,5.0
Deepak,1.0,1.0,1.0,4.0
Deezer,1.0,1.0,1.0,14.0
Delhi Jal Board,1.0,1.0,1.0,21.0
Devar,1.0,1.0,1.0,6.0
Dhruv,1.0,1.0,1.0,4.0
Didi,1.0,1.0,1.0,5.0
Didi Ji,1.0,1.0,1.0,6.0
Dinesh,1.0,1.0,1.0,5.0
Disney Hotstar,1.0,1.0,1.0,33.0
Dividend,1.0,1.0,1.0,18.0
